행정구역,2025년01월_총인구수,2025년01월_세대수,2025년01월_세대당 인구,2025년01월_남자 인구수,2025년01월_여자 인구수,2025년01월_남여 비율
서울특별시 중랑구 신내2동(1126069000),"19,320","8,866",2.18,"9,113","10,207",0.89
서울특별시 성북구 (1129000000),"420,710","196,178",2.14,"201,577","219,133",0.92
서울특별시 성북구 성북동(1129052500),"15,782","8,084",1.95,"7,366","8,416",0.88
서울특별시 성북구 삼선동(1129055500),"21,838","11,407",1.91,"10,352","11,486",0.9
서울특별시 성북구 동선동(1129057500),"14,863","9,706",1.53,"6,071","8,792",0.69
서울특별시 성북구 돈암제1동(1129058000),"14,014","6,007",2.33,"6,550","7,464",0.88
서울특별시 성북구 돈암제2동(1129059000),"23,176","8,526",2.72,"10,954","12,222",0.9
서울특별시 성북구 안암동(1129060000),"15,214","10,074",1.51,"7,655","7,559",1.01
서울특별시 성북구 보문동(1129061000),"16,041","8,126",1.97,"7,725","8,316",0.93
서울특별시 성북구 정릉제1동(1129062000),"17,537","7,268",2.41,"8,394","9,143",0.92
서울특별시 성북구 정릉제2동(1129063000),"22,096","9,765",2.26,"10,598","11,498",0.92
서울특별시 성북구 정릉제3동(1129064000),"14,031","7,864",1.78,"6,908","7,123",0.97
서울특별시 성북구 정릉제4동(1129065000),"23,832","10,748",2.22,"11,380","12,452",0.91
서울특별시 성북구 길음제1동(1129066000),"35,545","12,824",2.77,"16,826","18,719",0.9
서울특별시 성북구 길음제2동(1129068500),"21,416","8,480",2.53,"10,243","11,173",0.92
서울특별시 성북구 종암동(1129070500),"36,970","16,900",2.19,"18,218","18,752",0.97
서울특별시 성북구 월곡제1동(1129071500),"25,164","10,687",2.35,"12,110","13,054",0.93
서울특별시 성북구 월곡제2동(1129072500),"18,616","9,551",1.95,"8,848","9,768",0.91
서울특별시 성북구 장위제1동(1129076000),"22,983","10,568",2.17,"11,157","11,826",0.94
서울특별시 성북구 장위제2동(1129077000),"12,838","6,561",1.96,"6,280","6,558",0.96
서울특별시 성북구 장위제3동(1129078000),"15,364","6,405",2.4,"7,500","7,864",0.95
서울특별시 성북구 석관동(1129081000),"33,390","16,627",2.01,"16,442","16,948",0.97
서울특별시 강북구 (1130500000),"283,293","143,035",1.98,"136,674","146,619",0.93
서울특별시 강북구 삼양동(1130553400),"24,092","11,547",2.09,"11,924","12,168",0.98
서울특별시 강북구 미아동(1130553500),"20,513","11,720",1.75,"9,817","10,696",0.92
서울특별시 강북구 송중동(1130554500),"27,878","13,702",2.03,"13,302","14,576",0.91
서울특별시 강북구 송천동(1130555500),"23,158","12,302",1.88,"11,475","11,683",0.98
서울특별시 강북구 삼각산동(1130557500),"30,224","11,501",2.63,"14,521","15,703",0.92
서울특별시 강북구 번1동(1130559500),"16,320","9,722",1.68,"8,044","8,276",0.97
서울특별시 강북구 번2동(1130560300),"14,545","7,412",1.96,"6,947","7,598",0.91
서울특별시 강북구 번3동(1130560800),"15,963","7,625",2.09,"7,392","8,571",0.86
서울특별시 강북구 수유1동(1130561500),"19,561","10,464",1.87,"9,558","10,003",0.96
서울특별시 강북구 수유2동(1130562500),"20,195","9,709",2.08,"9,592","10,603",0.9
서울특별시 강북구 수유3동(1130563500),"22,747","13,639",1.67,"11,121","11,626",0.96
서울특별시 강북구 우이동(1130564500),"19,542","9,578",2.04,"9,301","10,241",0.91
서울특별시 강북구 인수동(1130566000),"28,555","14,114",2.02,"13,680","14,875",0.92
서울특별시 도봉구 (1132000000),"303,057","138,769",2.18,"146,548","156,509",0.94
서울특별시 도봉구 창제1동(1132051100),"23,715","10,936",2.17,"11,273","12,442",0.91
서울특별시 도봉구 창제2동(1132051200),"27,663","12,576",2.2,"13,385","14,278",0.94
서울특별시 도봉구 창제3동(1132051300),"12,891","6,342",2.03,"6,404","6,487",0.99
서울특별시 도봉구 창제4동(1132051400),"26,275","11,295",2.33,"12,528","13,747",0.91
서울특별시 도봉구 창제5동(1132051500),"23,616","10,318",2.29,"11,205","12,411",0.9
서울특별시 도봉구 도봉제1동(1132052100),"19,647","10,208",1.92,"9,817","9,830",1
서울특별시 도봉구 도봉제2동(1132052200),"25,955","11,888",2.18,"12,683","13,272",0.96
서울특별시 도봉구 쌍문제1동(1132066000),"20,599","9,561",2.15,"9,806","10,793",0.91
서울특별시 도봉구 쌍문제2동(1132067000),"17,596","8,432",2.09,"8,393","9,203",0.91
서울특별시 도봉구 쌍문제3동(1132068000),"16,145","8,183",1.97,"7,686","8,459",0.91
서울특별시 도봉구 쌍문제4동(1132068100),"17,844","7,100",2.51,"8,393","9,451",0.89
서울특별시 도봉구 방학제1동(1132069000),"27,263","12,929",2.11,"13,452","13,811",0.97
서울특별시 도봉구 방학제2동(1132070000),"18,064","9,096",1.99,"9,055","9,009",1.01
서울특별시 도봉구 방학제3동(1132071000),"25,784","9,905",2.6,"12,468","13,316",0.94
서울특별시 노원구 (1135000000),"490,307","217,328",2.26,"234,936","255,371",0.92
서울특별시 노원구 월계1동(1135056000),"20,270","9,952",2.04,"10,399","9,871",1.05
서울특별시 노원구 월계2동(1135057000),"25,145","11,655",2.16,"12,036","13,109",0.92
서울특별시 노원구 월계3동(1135058000),"28,192","12,858",2.19,"13,449","14,743",0.91
서울특별시 노원구 공릉1동(1135059500),"35,452","18,643",1.9,"17,115","18,337",0.93
서울특별시 노원구 공릉2동(1135060000),"41,250","17,878",2.31,"20,014","21,236",0.94
서울특별시 노원구 하계1동(1135061100),"25,521","12,042",2.12,"12,135","13,386",0.91
서울특별시 노원구 하계2동(1135061200),"20,825","8,126",2.56,"9,896","10,929",0.91
서울특별시 노원구 중계본동(1135061900),"22,542","7,938",2.84,"10,928","11,614",0.94
서울특별시 노원구 중계1동(1135062100),"26,151","8,920",2.93,"12,740","13,411",0.95
서울특별시 노원구 중계4동(1135062400),"18,845","8,176",2.3,"9,036","9,809",0.92
서울특별시 노원구 중계2.3동(1135062500),"31,687","14,823",2.14,"14,369","17,318",0.83
서울특별시 노원구 상계1동(1135063000),"36,389","15,535",2.34,"17,487","18,902",0.93
서울특별시 노원구 상계2동(1135064000),"18,817","8,496",2.21,"9,278","9,539",0.97
서울특별시 노원구 상계3.4동(1135066500),"27,097","12,425",2.18,"13,456","13,641",0.99
서울특별시 노원구 상계5동(1135067000),"22,518","10,889",2.07,"10,966","11,552",0.95
서울특별시 노원구 상계6.7동(1135069500),"30,941","13,890",2.23,"14,236","16,705",0.85
서울특별시 노원구 상계8동(1135070000),"21,553","9,125",2.36,"10,228","11,325",0.9
서울특별시 노원구 상계9동(1135071000),"19,235","8,349",2.3,"8,968","10,267",0.87
서울특별시 노원구 상계10동(1135072000),"17,877","7,608",2.35,"8,200","9,677",0.85
서울특별시 은평구 (1138000000),"460,738","215,398",2.14,"218,101","242,637",0.9
서울특별시 은평구 녹번동(1138051000),"35,506","17,473",2.03,"16,538","18,968",0.87
서울특별시 은평구 불광제1동(1138052000),"37,374","18,053",2.07,"17,485","19,889",0.88
서울특별시 은평구 불광제2동(1138053000),"26,505","14,116",1.88,"12,734","13,771",0.92
서울특별시 은평구 갈현제1동(1138055100),"14,169","7,213",1.96,"6,827","7,342",0.93
서울특별시 은평구 갈현제2동(1138055200),"27,240","12,754",2.14,"12,815","14,425",0.89
서울특별시 은평구 구산동(1138056000),"31,019","13,496",2.3,"15,038","15,981",0.94
서울특별시 은평구 대조동(1138057000),"27,222","15,537",1.75,"12,536","14,686",0.85
서울특별시 은평구 응암제1동(1138058000),"32,163","15,060",2.14,"14,952","17,211",0.87
서울특별시 은평구 응암제2동(1138059000),"27,097","10,977",2.47,"13,060","14,037",0.93
서울특별시 은평구 응암제3동(1138060000),"23,169","12,535",1.85,"11,178","11,991",0.93
서울특별시 은평구 역촌동(1138062500),"44,313","21,037",2.11,"20,763","23,550",0.88
서울특별시 은평구 신사제1동(1138063100),"25,999","11,966",2.17,"12,412","13,587",0.91
서울특별시 은평구 신사제2동(1138063200),"18,678","8,678",2.15,"9,217","9,461",0.97
서울특별시 은평구 증산동(1138064000),"15,794","6,826",2.31,"7,634","8,160",0.94
서울특별시 은평구 수색동(1138065000),"21,123","8,518",2.48,"10,190","10,933",0.93
서울특별시 은평구 진관동(1138069000),"53,367","21,159",2.52,"24,722","28,645",0.86
서울특별시 서대문구 (1141000000),"302,297","145,914",2.07,"143,239","159,058",0.9
서울특별시 서대문구 천연동(1141052000),"16,510","7,640",2.16,"7,791","8,719",0.89
서울특별시 서대문구 북아현동(1141055500),"15,342","7,059",2.17,"7,397","7,945",0.93
서울특별시 서대문구 충현동(1141056500),"19,363","9,943",1.95,"9,288","10,075",0.92
서울특별시 서대문구 신촌동(1141058500),"20,145","14,934",1.35,"8,605","11,540",0.75
서울특별시 서대문구 연희동(1141061500),"33,591","18,596",1.81,"15,972","17,619",0.91
서울특별시 서대문구 홍제제1동(1141062000),"24,558","11,084",2.22,"11,485","13,073",0.88
서울특별시 서대문구 홍제제3동(1141064000),"17,430","7,961",2.19,"8,320","9,110",0.91
서울특별시 서대문구 홍제제2동(1141065500),"12,294","5,395",2.28,"5,735","6,559",0.87
서울특별시 서대문구 홍은제1동(1141066000),"21,983","9,642",2.28,"10,569","11,414",0.93
서울특별시 서대문구 홍은제2동(1141068500),"28,132","12,997",2.16,"13,429","14,703",0.91
서울특별시 서대문구 남가좌제1동(1141069000),"16,658","6,161",2.7,"7,968","8,690",0.92
서울특별시 서대문구 남가좌제2동(1141070000),"28,784","13,256",2.17,"13,823","14,961",0.92
서울특별시 서대문구 북가좌제1동(1141071000),"17,388","6,753",2.57,"8,324","9,064",0.92
서울특별시 서대문구 북가좌제2동(1141072000),"30,119","14,493",2.08,"14,533","15,586",0.93
서울특별시 마포구 (1144000000),"360,981","180,980",1.99,"168,088","192,893",0.87
서울특별시 마포구 아현동(1144055500),"29,064","12,357",2.35,"13,483","15,581",0.87
서울특별시 마포구 공덕동(1144056500),"36,126","18,469",1.96,"16,813","19,313",0.87
서울특별시 마포구 도화동(1144058500),"20,500","9,315",2.2,"9,690","10,810",0.9
서울특별시 마포구 용강동(1144059000),"21,222","9,247",2.3,"9,926","11,296",0.88
서울특별시 마포구 대흥동(1144060000),"14,232","8,597",1.66,"6,885","7,347",0.94
서울특별시 마포구 염리동(1144061000),"16,812","7,713",2.18,"7,988","8,824",0.91
서울특별시 마포구 신수동(1144063000),"22,141","10,075",2.2,"10,760","11,381",0.95
서울특별시 마포구 서강동(1144065500),"24,389","12,179",2,"11,671","12,718",0.92
서울특별시 마포구 서교동(1144066000),"23,750","15,184",1.56,"10,849","12,901",0.84
서울특별시 마포구 합정동(1144068000),"15,993","9,103",1.76,"7,354","8,639",0.85
서울특별시 마포구 망원제1동(1144069000),"18,693","10,069",1.86,"8,634","10,059",0.86
서울특별시 마포구 망원제2동(1144070000),"17,532","8,300",2.11,"8,144","9,388",0.87
서울특별시 마포구 연남동(1144071000),"14,075","8,329",1.69,"6,557","7,518",0.87
서울특별시 마포구 성산제1동(1144072000),"18,539","9,598",1.93,"8,546","9,993",0.86
서울특별시 마포구 성산제2동(1144073000),"38,508","19,698",1.95,"17,050","21,458",0.79
서울특별시 마포구 상암동(1144074000),"29,405","12,747",2.31,"13,738","15,667",0.88
서울특별시 양천구 (1147000000),"430,618","180,118",2.39,"209,958","220,660",0.95
서울특별시 양천구 목1동(1147051000),"30,134","10,327",2.92,"14,409","15,725",0.92
서울특별시 양천구 목2동(1147052000),"28,352","13,281",2.13,"13,688","14,664",0.93
서울특별시 양천구 목3동(1147053000),"20,966","10,134",2.07,"9,948","11,018",0.9
서울특별시 양천구 목4동(1147054000),"24,153","9,973",2.42,"11,769","12,384",0.95
서울특별시 양천구 목5동(1147055000),"40,597","13,468",3.01,"20,131","20,466",0.98
서울특별시 양천구 신월1동(1147056000),"18,891","9,867",1.91,"9,714","9,177",1.06
서울특별시 양천구 신월2동(1147057000),"20,514","8,660",2.37,"10,001","10,513",0.95
서울특별시 양천구 신월3동(1147058000),"14,017","7,591",1.85,"7,371","6,646",1.11
서울특별시 양천구 신월4동(1147059000),"17,077","6,809",2.51,"8,284","8,793",0.94
서울특별시 양천구 신월5동(1147060000),"13,871","6,364",2.18,"6,870","7,001",0.98
서울특별시 양천구 신월6동(1147061000),"13,739","5,351",2.57,"6,694","7,045",0.95
서울특별시 양천구 신월7동(1147061100),"18,239","9,016",2.02,"8,854","9,385",0.94
서울특별시 양천구 신정1동(1147062000),"19,591","6,927",2.83,"9,504","10,087",0.94
서울특별시 양천구 신정2동(1147063000),"18,581","6,799",2.73,"9,100","9,481",0.96
서울특별시 양천구 신정3동(1147064000),"48,515","19,539",2.48,"23,387","25,128",0.93
서울특별시 양천구 신정4동(1147065000),"31,380","16,375",1.92,"15,197","16,183",0.94
서울특별시 양천구 신정6동(1147067000),"23,986","8,179",2.93,"11,618","12,368",0.94
서울특별시 양천구 신정7동(1147068000),"28,015","11,458",2.45,"13,419","14,596",0.92
서울특별시 강서구 (1150000000),"555,518","273,773",2.03,"265,867","289,651",0.92
서울특별시 강서구 염창동(1150051000),"41,199","16,669",2.47,"19,751","21,448",0.92
서울특별시 강서구 등촌제1동(1150052000),"24,987","14,394",1.74,"11,528","13,459",0.86
서울특별시 강서구 등촌제2동(1150053000),"19,167","8,600",2.23,"9,369","9,798",0.96
서울특별시 강서구 등촌제3동(1150053500),"28,990","15,120",1.92,"13,595","15,395",0.88
서울특별시 강서구 화곡제1동(1150054000),"49,796","27,950",1.78,"24,106","25,690",0.94
서울특별시 강서구 화곡제2동(1150055000),"16,803","8,149",2.06,"8,083","8,720",0.93
서울특별시 강서구 화곡제3동(1150056000),"20,735","9,657",2.15,"9,867","10,868",0.91
서울특별시 강서구 화곡제4동(1150057000),"19,175","9,569",2,"9,366","9,809",0.95
서울특별시 강서구 화곡본동(1150059000),"32,142","17,201",1.87,"15,581","16,561",0.94
서울특별시 강서구 화곡제6동(1150059100),"25,643","13,511",1.9,"12,227","13,416",0.91
서울특별시 강서구 화곡제8동(1150059300),"22,696","11,472",1.98,"10,944","11,752",0.93
서울특별시 강서구 가양제1동(1150060300),"33,683","21,066",1.6,"15,097","18,586",0.81
서울특별시 강서구 가양제2동(1150060400),"13,128","7,941",1.65,"6,174","6,954",0.89
서울특별시 강서구 가양제3동(1150060500),"13,681","7,638",1.79,"6,314","7,367",0.86
서울특별시 강서구 발산제1동(1150061100),"35,118","13,557",2.59,"16,548","18,570",0.89
서울특별시 강서구 우장산동(1150061500),"43,364","16,791",2.58,"20,678","22,686",0.91
서울특별시 강서구 공항동(1150062000),"29,409","13,912",2.11,"14,825","14,584",1.02
서울특별시 강서구 방화제1동(1150063000),"41,309","17,096",2.42,"20,137","21,172",0.95
서울특별시 강서구 방화제2동(1150064000),"22,834","12,343",1.85,"11,277","11,557",0.98
서울특별시 강서구 방화제3동(1150064100),"21,659","11,137",1.94,"10,400","11,259",0.92
서울특별시 구로구 (1153000000),"387,510","183,840",2.11,"189,651","197,859",0.96
서울특별시 구로구 신도림동(1153051000),"35,978","14,398",2.5,"17,305","18,673",0.93
서울특별시 구로구 구로제1동(1153052000),"20,361","8,403",2.42,"9,902","10,459",0.95
서울특별시 구로구 구로제2동(1153053000),"22,093","12,096",1.83,"11,084","11,009",1.01
서울특별시 구로구 구로제3동(1153054000),"22,908","13,559",1.69,"11,821","11,087",1.07
서울특별시 구로구 구로제4동(1153055000),"18,141","10,173",1.78,"8,685","9,456",0.92
서울특별시 구로구 구로제5동(1153056000),"28,983","15,727",1.84,"14,117","14,866",0.95
서울특별시 구로구 가리봉동(1153059500),"8,727","6,024",1.45,"4,798","3,929",1.22
서울특별시 구로구 고척제1동(1153072000),"26,415","11,640",2.27,"13,151","13,264",0.99
서울특별시 구로구 고척제2동(1153073000),"25,362","11,401",2.22,"12,440","12,922",0.96
서울특별시 구로구 개봉제1동(1153074000),"33,181","15,197",2.18,"16,410","16,771",0.98
서울특별시 구로구 개봉제2동(1153075000),"29,130","12,171",2.39,"14,064","15,066",0.93
서울특별시 구로구 개봉제3동(1153076000),"19,185","8,608",2.23,"9,277","9,908",0.94
서울특별시 구로구 오류제1동(1153077000),"22,587","12,849",1.76,"10,779","11,808",0.91
서울특별시 구로구 오류제2동(1153078000),"35,982","15,384",2.34,"17,077","18,905",0.9
서울특별시 구로구 수궁동(1153079000),"22,347","9,982",2.24,"10,921","11,426",0.96
서울특별시 구로구 항동(1153080000),"16,130","6,228",2.59,"7,820","8,310",0.94
서울특별시 금천구 (1154500000),"224,924","121,026",1.86,"113,054","111,870",1.01
서울특별시 금천구 가산동(1154551000),"24,872","18,410",1.35,"13,378","11,494",1.16
서울특별시 금천구 독산제1동(1154561000),"47,152","26,008",1.81,"23,871","23,281",1.03
서울특별시 금천구 독산제2동(1154562000),"17,483","9,341",1.87,"8,776","8,707",1.01
서울특별시 금천구 독산제3동(1154563000),"22,964","12,676",1.81,"11,585","11,379",1.02
서울특별시 금천구 독산제4동(1154564000),"14,129","7,460",1.89,"7,063","7,066",1
서울특별시 금천구 시흥제1동(1154567000),"31,648","16,402",1.93,"15,715","15,933",0.99
서울특별시 금천구 시흥제2동(1154568000),"20,183","8,137",2.48,"9,666","10,517",0.92
서울특별시 금천구 시흥제3동(1154569000),"10,146","4,675",2.17,"5,001","5,145",0.97
서울특별시 금천구 시흥제4동(1154570000),"18,727","8,889",2.11,"9,272","9,455",0.98
서울특별시 금천구 시흥제5동(1154571000),"17,620","9,028",1.95,"8,727","8,893",0.98
서울특별시 영등포구 (1156000000),"373,307","192,170",1.94,"182,615","190,692",0.96
서울특별시 영등포구 영등포본동(1156051500),"20,431","10,323",1.98,"10,433","9,998",1.04
서울특별시 영등포구 영등포동(1156053500),"31,181","22,393",1.39,"15,814","15,367",1.03
서울특별시 영등포구 여의동(1156054000),"33,861","14,142",2.39,"15,922","17,939",0.89
서울특별시 영등포구 당산제1동(1156055000),"21,151","11,861",1.78,"10,190","10,961",0.93
서울특별시 영등포구 당산제2동(1156056000),"36,428","18,866",1.93,"16,981","19,447",0.87
서울특별시 영등포구 도림동(1156058500),"17,598","9,803",1.8,"8,910","8,688",1.03
서울특별시 영등포구 문래동(1156060500),"31,498","13,023",2.42,"15,325","16,173",0.95
서울특별시 영등포구 양평제1동(1156061000),"18,183","10,045",1.81,"8,670","9,513",0.91
서울특별시 영등포구 양평제2동(1156062000),"22,711","11,334",2,"11,006","11,705",0.94
서울특별시 영등포구 신길제1동(1156063000),"19,088","11,639",1.64,"9,704","9,384",1.03
서울특별시 영등포구 신길제3동(1156065000),"15,945","7,625",2.09,"7,862","8,083",0.97
서울특별시 영등포구 신길제4동(1156066000),"11,922","5,679",2.1,"5,859","6,063",0.97
서울특별시 영등포구 신길제5동(1156067000),"9,596","4,443",2.16,"4,668","4,928",0.95
서울특별시 영등포구 신길제6동(1156068000),"17,899","9,150",1.96,"8,664","9,235",0.94
서울특별시 영등포구 신길제7동(1156069000),"19,611","7,866",2.49,"9,725","9,886",0.98
서울특별시 영등포구 대림제1동(1156070000),"13,449","6,842",1.97,"6,659","6,790",0.98
서울특별시 영등포구 대림제2동(1156071000),"11,602","6,882",1.69,"5,658","5,944",0.95
서울특별시 영등포구 대림제3동(1156072000),"21,153","10,254",2.06,"10,565","10,588",1
서울특별시 동작구 (1159000000),"375,456","186,838",2.01,"181,356","194,100",0.93
서울특별시 동작구 노량진제1동(1159051000),"32,633","17,713",1.84,"16,635","15,998",1.04
서울특별시 동작구 노량진제2동(1159052000),"8,056","5,633",1.43,"4,252","3,804",1.12
서울특별시 동작구 상도제1동(1159053000),"43,849","22,674",1.93,"21,256","22,593",0.94
서울특별시 동작구 상도제2동(1159054000),"27,223","12,442",2.19,"12,960","14,263",0.91
서울특별시 동작구 상도제3동(1159055000),"23,635","12,200",1.94,"11,222","12,413",0.9
서울특별시 동작구 상도제4동(1159056000),"28,953","14,756",1.96,"14,009","14,944",0.94
서울특별시 동작구 흑석동(1159060500),"30,036","12,942",2.32,"14,496","15,540",0.93
서울특별시 동작구 사당제1동(1159062000),"22,366","13,979",1.6,"10,777","11,589",0.93
서울특별시 동작구 사당제2동(1159063000),"27,871","12,510",2.23,"13,344","14,527",0.92
서울특별시 동작구 사당제3동(1159064000),"23,435","10,397",2.25,"11,313","12,122",0.93
서울특별시 동작구 사당제4동(1159065000),"13,692","7,332",1.87,"6,544","7,148",0.92
서울특별시 동작구 사당제5동(1159065100),"14,051","6,725",2.09,"6,705","7,346",0.91
서울특별시 동작구 대방동(1159066000),"34,734","16,422",2.12,"16,318","18,416",0.89
서울특별시 동작구 신대방제1동(1159067000),"23,069","10,454",2.21,"11,069","12,000",0.92
서울특별시 동작구 신대방제2동(1159068000),"21,853","10,659",2.05,"10,456","11,397",0.92
서울특별시 관악구 (1162000000),"477,940","286,279",1.67,"240,565","237,375",1.01
서울특별시 관악구 보라매동(1162052500),"23,289","12,982",1.79,"11,396","11,893",0.96
서울특별시 관악구 청림동(1162054500),"14,507","6,383",2.27,"6,938","7,569",0.92
서울특별시 관악구 성현동(1162056500),"28,227","12,308",2.29,"13,601","14,626",0.93
서울특별시 관악구 행운동(1162057500),"28,714","18,296",1.57,"13,886","14,828",0.94
서울특별시 관악구 낙성대동(1162058500),"17,363","12,215",1.42,"8,742","8,621",1.01
서울특별시 관악구 청룡동(1162059500),"35,842","24,431",1.47,"17,234","18,608",0.93
서울특별시 관악구 은천동(1162060500),"31,844","16,083",1.98,"15,610","16,234",0.96
서울특별시 관악구 중앙동(1162061500),"15,127","10,344",1.46,"7,201","7,926",0.91
서울특별시 관악구 인헌동(1162062500),"25,020","14,727",1.7,"12,133","12,887",0.94
서울특별시 관악구 남현동(1162063000),"17,486","9,896",1.77,"8,480","9,006",0.94
서울특별시 관악구 서원동(1162064500),"22,965","15,390",1.49,"12,048","10,917",1.1
서울특별시 관악구 신원동(1162065500),"17,442","11,361",1.54,"8,941","8,501",1.05
서울특별시 관악구 서림동(1162066500),"23,242","15,281",1.52,"12,933","10,309",1.25
서울특별시 관악구 신사동(1162068500),"22,210","14,660",1.52,"11,094","11,116",1
서울특별시 관악구 신림동(1162069500),"22,948","19,192",1.2,"12,384","10,564",1.17
서울특별시 관악구 난향동(1162071500),"14,605","6,165",2.37,"7,130","7,475",0.95
서울특별시 관악구 조원동(1162072500),"19,644","12,389",1.59,"9,731","9,913",0.98
서울특별시 관악구 대학동(1162073500),"24,393","17,772",1.37,"14,978","9,415",1.59
서울특별시 관악구 삼성동(1162074500),"19,484","9,539",2.04,"9,649","9,835",0.98
서울특별시 관악구 미성동(1162076500),"28,839","14,066",2.05,"14,111","14,728",0.96
서울특별시 관악구 난곡동(1162077500),"24,749","12,799",1.93,"12,345","12,404",1
서울특별시 서초구 (1165000000),"408,324","170,701",2.39,"194,124","214,200",0.91
서울특별시 서초구 서초1동(1165051000),"20,177","9,529",2.12,"9,683","10,494",0.92
서울특별시 서초구 서초2동(1165052000),"24,695","11,405",2.17,"11,585","13,110",0.88
서울특별시 서초구 서초3동(1165053000),"31,985","15,423",2.07,"15,142","16,843",0.9
서울특별시 서초구 서초4동(1165053100),"30,205","10,672",2.83,"14,713","15,492",0.95
서울특별시 서초구 잠원동(1165054000),"26,711","10,648",2.51,"12,904","13,807",0.93
서울특별시 서초구 반포본동(1165055000),227,110,2.06,100,127,0.79
서울특별시 서초구 반포1동(1165056000),"33,672","14,608",2.31,"16,430","17,242",0.95
서울특별시 서초구 반포2동(1165057000),"26,529","8,561",3.1,"12,588","13,941",0.9
서울특별시 서초구 반포3동(1165058000),"23,952","8,265",2.9,"11,398","12,554",0.91
서울특별시 서초구 반포4동(1165058100),"18,451","7,027",2.63,"8,596","9,855",0.87
서울특별시 서초구 방배본동(1165059000),"20,067","7,862",2.55,"9,248","10,819",0.85
서울특별시 서초구 방배1동(1165060000),"16,471","7,527",2.19,"7,653","8,818",0.87
서울특별시 서초구 방배2동(1165061000),"17,821","7,842",2.27,"8,293","9,528",0.87
서울특별시 서초구 방배3동(1165062000),"15,710","5,841",2.69,"7,487","8,223",0.91
서울특별시 서초구 방배4동(1165062100),"22,666","9,616",2.36,"10,239","12,427",0.82
서울특별시 서초구 양재1동(1165065100),"41,101","17,679",2.32,"19,491","21,610",0.9
서울특별시 서초구 양재2동(1165065200),"21,018","11,005",1.91,"10,461","10,557",0.99
서울특별시 서초구 내곡동(1165066000),"16,866","7,081",2.38,"8,113","8,753",0.93
서울특별시 강남구 (1168000000),"557,115","244,962",2.27,"266,239","290,876",0.92
서울특별시 강남구 신사동(1168051000),"15,246","6,625",2.3,"7,112","8,134",0.87
서울특별시 강남구 논현1동(1168052100),"20,780","13,469",1.54,"9,853","10,927",0.9
서울특별시 강남구 논현2동(1168053100),"20,173","11,203",1.8,"9,350","10,823",0.86
서울특별시 강남구 압구정동(1168054500),"25,558","9,981",2.56,"11,853","13,705",0.86
서울특별시 강남구 청담동(1168056500),"24,013","10,546",2.28,"11,163","12,850",0.87
서울특별시 강남구 삼성1동(1168058000),"11,901","5,161",2.31,"5,816","6,085",0.96
서울특별시 강남구 삼성2동(1168059000),"30,519","13,838",2.21,"14,567","15,952",0.91
서울특별시 강남구 대치1동(1168060000),"23,915","7,226",3.31,"11,966","11,949",1
서울특별시 강남구 대치2동(1168061000),"38,273","13,283",2.88,"19,459","18,814",1.03
서울특별시 강남구 대치4동(1168063000),"18,194","9,586",1.9,"8,705","9,489",0.92
서울특별시 강남구 역삼1동(1168064000),"34,246","23,880",1.43,"16,748","17,498",0.96
서울특별시 강남구 역삼2동(1168065000),"36,180","15,584",2.32,"16,859","19,321",0.87
서울특별시 강남구 도곡1동(1168065500),"20,624","8,245",2.5,"9,788","10,836",0.9
서울특별시 강남구 도곡2동(1168065600),"32,296","11,421",2.83,"14,913","17,383",0.86
서울특별시 강남구 개포1동(1168066000),"26,459","9,147",2.89,"12,735","13,724",0.93
서울특별시 강남구 개포2동(1168067000),"42,354","15,026",2.82,"20,516","21,838",0.94
서울특별시 강남구 개포3동(1168067500),"16,664","7,350",2.27,"8,038","8,626",0.93
서울특별시 강남구 개포4동(1168069000),"23,067","10,079",2.29,"11,101","11,966",0.93
서울특별시 강남구 세곡동(1168070000),"46,248","20,333",2.27,"21,598","24,650",0.88
서울특별시 강남구 일원본동(1168072000),"22,581","7,957",2.84,"11,139","11,442",0.97
서울특별시 강남구 일원1동(1168073000),"14,243","7,411",1.92,"6,855","7,388",0.93
서울특별시 강남구 수서동(1168075000),"13,581","7,611",1.78,"6,105","7,476",0.82
서울특별시 송파구 (1171000000),"649,071","286,796",2.26,"311,160","337,911",0.92
서울특별시 송파구 풍납1동(1171051000),"11,246","5,373",2.09,"5,526","5,720",0.97
서울특별시 송파구 풍납2동(1171052000),"23,041","10,298",2.24,"10,946","12,095",0.91
서울특별시 송파구 거여1동(1171053100),"11,803","5,571",2.12,"5,864","5,939",0.99
서울특별시 송파구 거여2동(1171053200),"23,327","10,078",2.31,"11,309","12,018",0.94
서울특별시 송파구 마천1동(1171054000),"15,889","7,624",2.08,"8,126","7,763",1.05
서울특별시 송파구 마천2동(1171055000),"17,239","8,483",2.03,"8,800","8,439",1.04
서울특별시 송파구 방이1동(1171056100),"14,997","6,154",2.44,"7,173","7,824",0.92
서울특별시 송파구 방이2동(1171056200),"26,110","15,940",1.64,"11,823","14,287",0.83
서울특별시 송파구 오륜동(1171056600),"17,514","5,837",3,"8,592","8,922",0.96
서울특별시 송파구 오금동(1171057000),"37,846","16,037",2.36,"18,277","19,569",0.93
서울특별시 송파구 송파1동(1171058000),"23,060","12,510",1.84,"10,627","12,433",0.85
서울특별시 송파구 송파2동(1171059000),"18,547","7,213",2.57,"8,904","9,643",0.92
서울특별시 송파구 석촌동(1171060000),"30,336","17,077",1.78,"14,307","16,029",0.89
